"FLEX_VALUE";"DESCRIPTION";"FLEX_VALUE||'00'";"DESCRIPTION_1";
"999242";"CHARGES SOCIALES/VENTIL PAIE CP SUPPORT PRODUIT";"99924200";"CHARGES SOCIALES/VENTIL PAIE CP SUPPORT PRODUIT";
"999243";"CHARGES SOCIALES/VENTIL PAIE CP COMMERCIAUX";"99924300";"CHARGES SOCIALES/VENTIL PAIE CP COMMERCIAUX";
"999244";"CHARGES SOCIALES/VENTIL PAIE CP ADMINISTRATIFS";"99924400";"CHARGES SOCIALES/VENTIL PAIE CP ADMINISTRATIFS";
"999270";"CHARGES SOCIALES/VENTIL PAIE ASTREINTE 900990";"99927000";"CHARGES SOCIALES/VENTIL PAIE ASTREINTE 900990";
"999271";"CHARGES SOCIALES/VENTIL PAIE ASTREINTE PRODUCTIFS";"99927100";"CHARGES SOCIALES/VENTIL PAIE ASTREINTE PRODUCTIFS";
"999272";"CHARGES SOCIALES/VENTIL PAIE ASTREINTE SUPPORT R";"99927200";"CHARGES SOCIALES/VENTIL PAIE ASTREINTE SUPPORT R";
"999273";"CHARGES SOCIALES/VENTIL PAIE ASTREINTE COMMERCIAUX";"99927300";"CHARGES SOCIALES/VENTIL PAIE ASTREINTE COMMERCIAUX";
"999274";"CHARGES SOCIALES/VENTIL PAIE ASTREINTE ADMINISTRATIFS";"99927400";"CHARGES SOCIALES/VENTIL PAIE ASTREINTE ADMINISTRATIFS";
"999320";"CHARGES SOCIALES/VENTIL PAIE FRAIS DE DEPART 900990";"99932000";"CHARGES SOCIALES/VENTIL PAIE FRAIS DE DEPART 900990";
"999321";"CHARGES SOCIALES/VENTIL PAIE FRAIS DE DEPART PRODUCTIFS";"99932100";"CHARGES SOCIALES/VENTIL PAIE FRAIS DE DEPART PRODUCTIFS";
"999322";"CHARGES SOCIALES/VENTIL PAIE FRAIS DE DEPART SUPPORT PRODUIT";"99932200";"CHARGES SOCIALES/VENTIL PAIE FRAIS DE DEPART SUPPORT PRODUIT";
"999323";"CHARGES SOCIALES/VENTIL PAIE FRAIS DE DEPART COMMERCIAUX";"99932300";"CHARGES SOCIALES/VENTIL PAIE FRAIS DE DEPART COMMERCIAUX";
"999324";"CHARGES SOCIALES/VENTIL PAIE FRAIS DE DEPART ADMINISTRATIFS";"99932400";"CHARGES SOCIALES/VENTIL PAIE FRAIS DE DEPART ADMINISTRATIFS";
"999330";"CHGES SOCIALES VENTIL PAIE FRAIS LICENCIEMENT";"99933000";"CHGES SOCIALES VENTIL PAIE FRAIS LICENCIEMENT";
"999331";"CHGES SOCIALES VENTIL PAIE FRAIS LICENCIEMENT PRODUCTIFS";"99933100";"CHGES SOCIALES VENTIL PAIE FRAIS LICENCIEMENT PRODUCTIFS";
"999332";"CHGES SOCIALES VENTIL PAIE FRAIS LICENCIEMENT SUPPORTS PRODUITS";"99933200";"CHGES SOCIALES VENTIL PAIE FRAIS LICENCIEMENT SUPPORTS PRODUITS";
"999333";"CHGES SOCIALES VENTIL PAIE FRAIS LICENCIEMENT COMMERCIAUX";"99933300";"CHGES SOCIALES VENTIL PAIE FRAIS LICENCIEMENT COMMERCIAUX";
"999334";"CHGES SOCIALES VENTIL PAIE FRAIS LICENCIEMENT ADMINISTRATIFS";"99933400";"CHGES SOCIALES VENTIL PAIE FRAIS LICENCIEMENT ADMINISTRATIFS";
