"FLEX_VALUE";"DESCRIPTION";"FLEX_VALUE||'00'";"DESCRIPTION_1";
"900241";"VPCP PRODUCTIFS (OA)";"90024100";"VPCP PRODUCTIFS (OA)";
"900242";"VPCP SUPPORT PRODUIT (OA)";"90024200";"VPCP SUPPORT PRODUIT (OA)";
"900243";"VPCP COMMERCIAUX (OA)";"90024300";"VPCP COMMERCIAUX (OA)";
"900244";"VPCP ADMINISTRATIFS (OA)";"90024400";"VPCP ADMINISTRATIFS (OA)";
"900252";"PRODUCTION IMMOBILISEE";"90025200";"PRODUCTION IMMOBILISEE";
"900271";"DIVERS ELEMENTS DE PAIE PRODUCTIFS (OA)";"90027100";"DIVERS ELEMENTS DE PAIE PRODUCTIFS (OA)";
"900272";"DIVERS ELEMENTS DE PAIE SUPPORT PRODUIT (OA)";"90027200";"DIVERS ELEMENTS DE PAIE SUPPORT PRODUIT (OA)";
"900273";"DIVERS ELEMENTS DE PAIE COMMERCIAUX (OA)";"90027300";"DIVERS ELEMENTS DE PAIE COMMERCIAUX (OA)";
"900274";"DIVERS ELEMENTS DE PAIE ADMINISTRATIFS (OA)";"90027400";"DIVERS ELEMENTS DE PAIE ADMINISTRATIFS (OA)";
"900311";"COUTS FORMATION PRODUCTIFS (OA)";"90031100";"COUTS FORMATION PRODUCTIFS (OA)";
"900312";"COUTS FORMATION SUPPORT PRODUITS (OA)";"90031200";"COUTS FORMATION SUPPORT PRODUITS (OA)";
"900313";"COUTS FORMATION COMMERCIAUX (OA)";"90031300";"COUTS FORMATION COMMERCIAUX (OA)";
"900314";"COUTS FORMATION ADMINISTRATIFS (OA)";"90031400";"COUTS FORMATION ADMINISTRATIFS (OA)";
"900321";"RETRAITE DES PRODUCTIFS (OA)";"90032100";"RETRAITE DES PRODUCTIFS (OA)";
"900322";"RETRAITE DES SUPPORTS PRODUITS (OA)";"90032200";"RETRAITE DES SUPPORTS PRODUITS (OA)";
"900323";"RETRAITE DES COMMERCIAUX (OA)";"90032300";"RETRAITE DES COMMERCIAUX (OA)";
